machine_name,average_time_on_machine,count,last_timestamp
arouf@ec41,21658.80777,227,4916549.363789982
arouf@ec34,21312.9297,231,4923286.7607000265
arouf@ec35,21014.34252,234,4917356.149680005
arouf@ec36,21000.07941,234,4914018.58193997
arouf@ec44,20982.82842,234,4909981.850280017
arouf@ec42,20899.44017,235,4911368.439949998
arouf@ec48,20834.38964,236,4916915.955040005
arouf@ec33,20806.08251,236,4910235.472360017
arouf@ec43,20360.90578,241,4906978.29298
arouf@ec45,20295.78698,242,4911580.449160001
arouf@ec46,19414.51064,253,4911871.191919999
arouf@ec4,10528.23927,466,4906159.4998199465
arouf@ec5,10421.31686,471,4908440.241059997
arouf@ec22,10405.88841,472,4911579.329520026
arouf@ec10,10348.47137,474,4905175.429380006
arouf@ec21,10345.22643,474,4903637.327819953
arouf@ec16,10334.2796,475,4908782.810000003
arouf@ec9,10309.95089,476,4907536.623639991
arouf@ec8,10289.56561,477,4908122.795969977
arouf@ec17,10262.95786,478,4905693.857080018
arouf@ec19,10257.71626,478,4903188.372280027
arouf@ec6,10202.23863,481,4907276.7810299825
arouf@ec23,10167.02141,483,4910671.341029986
arouf@ec12,10117.73328,485,4907100.640799987
arouf@ec7,10059.17543,488,4908877.609839956
arouf@ec38,10037.82073,489,4908494.33696995
arouf@ec20,10017.07462,490,4908366.56380003
arouf@ec2,10012.33102,490,4906042.199800006
arouf@ec24,10006.64446,490,4903255.785400036
arouf@ec15,9971.429024,492,4905943.079808013
arouf@ec18,9888.778885,496,4904834.326960004
arouf@ec29,9754.052392,503,4906288.353176005
arouf@ec40,9500.306788,517,4911658.609395986
arouf@ec39,9481.839926,518,4911593.081668027
arouf@ec37,9474.434346,518,4907756.991228019
arouf@ec30,9448.903218,519,4903980.770142052
arouf@ec31,9403.659049,522,4908710.023577991
arouf@ec32,9249.969343,530,4902483.7517900355
x-arouf@a120.anvil.rcac.purdue.edu,8653.942483,567,4906785.387861034
x-arouf@a239.anvil.rcac.purdue.edu,8589.832236,571,4904794.206756008
x-arouf@a130.anvil.rcac.purdue.edu,8442.410685,581,4905040.607985005
x-arouf@a067.anvil.rcac.purdue.edu,8338.892855,588,4903268.9987400295
x-arouf@a106.anvil.rcac.purdue.edu,8170.32394,601,4910364.687939975
x-arouf@a031.anvil.rcac.purdue.edu,8014.924415,612,4905133.741979928
x-arouf@a012.anvil.rcac.purdue.edu,7924.037191,619,4904979.021228949
x-arouf@a014.anvil.rcac.purdue.edu,7911.672495,620,4905236.946900028
x-arouf@a082.anvil.rcac.purdue.edu,7897.280181,621,4904210.992401005
x-arouf@a008.anvil.rcac.purdue.edu,7896.501654,621,4903727.527134012
x-arouf@a007.anvil.rcac.purdue.edu,7889.783132,622,4907445.1081039505
x-arouf@a016.anvil.rcac.purdue.edu,7884.4418,622,4904122.7996000415
x-arouf@a013.anvil.rcac.purdue.edu,7883.767387,622,4903703.3147139605
x-arouf@a078.anvil.rcac.purdue.edu,7882.06634,622,4902645.2634799965
x-arouf@a079.anvil.rcac.purdue.edu,7876.65945,623,4907158.837350045
x-arouf@a074.anvil.rcac.purdue.edu,7853.519879,625,4908449.924374976
x-arouf@a035.anvil.rcac.purdue.edu,7819.869868,627,4903058.40723602
x-arouf@a080.anvil.rcac.purdue.edu,7803.903272,629,4908655.158088041
x-arouf@a083.anvil.rcac.purdue.edu,7799.544604,629,4905913.555916013
x-arouf@a034.anvil.rcac.purdue.edu,7763.758943,632,4906695.65197597
x-arouf@a060.anvil.rcac.purdue.edu,7736.501453,634,4904941.921202029
x-arouf@a036.anvil.rcac.purdue.edu,7718.087898,636,4908703.903128043
arouf@ec143,5204.619139,942,4902751.228937927
arouf@ec166,5138.969717,954,4902577.110018002
arouf@ec168,5137.815493,955,4906613.7958150385
arouf@ec138,5133.67745,955,4902661.96474999
arouf@ec136,5130.610291,956,4904863.438196056
arouf@ec187,4122.299398,1190,4905536.283619975
arouf@ec191,4108.40179,1194,4905431.737259952
arouf@ec192,4103.086524,1195,4903188.396180015
