requested_by,min,max,mean,count,min_hours,max_hours,mean_hours,min_days,max_days,mean_days
arouf@ec36,9288.176213264465,38550.97321271896,21000.07941352278,160,2.580048948129018,10.708603670199713,5.833355392645217,0.10750203950537576,0.44619181959165466,0.2430564746935507
arouf@ec45,9088.651807308197,38099.08679366112,20295.78698408675,167,2.5246255020300548,10.583079664905865,5.637718606690764,0.10519272925125228,0.44096165270441107,0.2349049419454485
arouf@ec42,9219.956947088242,37546.27501320839,20899.440165537486,161,2.561099151968956,10.42952083700233,5.805400045982635,0.10671246466537317,0.43456336820843044,0.2418916685826098
arouf@ec34,9270.030004501343,37122.19215250015,21312.92970228345,159,2.5750083345837065,10.311720042361154,5.920258250634292,0.10729201394098777,0.42965500176504806,0.24667742710976215
arouf@ec35,9168.851736783981,37077.99183368683,21014.342519465088,160,2.5469032602177726,10.299442176024119,5.83731736651808,0.10612096917574053,0.42914342400100497,0.24322155693825334
arouf@ec41,9619.522163629532,36829.410116672516,21658.807773585413,153,2.6720894898970924,10.2303916990757,6.0163354926626145,0.1113370620790455,0.4262663207948208,0.25068064552760894
arouf@ec44,9292.66529750824,36808.33520889282,20982.82841740632,161,2.5812959159745112,10.224537558025784,5.8285634492795335,0.10755399649893796,0.42602239825107435,0.24285681038664722
arouf@ec33,9495.000930786133,36185.725806474686,20806.082510650893,162,2.637500258551704,10.051590501798524,5.779467364069692,0.10989584410632099,0.41881627090827184,0.24081114016957053
arouf@ec43,9333.123282909393,36147.653418540955,20360.90577807484,166,2.5925342452526094,10.041014838483598,5.6558071605763445,0.10802226021885872,0.41837561827014996,0.23565863169068102
arouf@ec48,8699.388573408127,35385.76696205139,20834.389644762618,162,2.4164968259467017,9.829379711680943,5.787330456878505,0.10068736774777924,0.40955748798670594,0.24113876903660436
arouf@ec46,8738.718197584152,34060.278332710266,19414.5106418215,174,2.4274217215511533,9.461188425752852,5.392919622728194,0.10114257173129806,0.3942161844063688,0.22470498428034144
arouf@ec17,4414.598790407181,19202.698102474213,10262.957856922178,333,1.2262774417797724,5.3340828062428365,2.8508216269228273,0.051094893407490516,0.2222534502601182,0.1187842344551178
arouf@ec10,4201.824543237686,18975.750925779343,10348.471367583043,328,1.1671734842326906,5.271041923827595,2.8745753798841784,0.04863222850969544,0.2196267468261498,0.11977397416184077
arouf@ec9,4340.925076007843,18860.446574926376,10309.950894165615,331,1.2058125211132897,5.239012937479549,2.8638752483793373,0.05024218837972041,0.21829220572831454,0.11932813534913907
arouf@ec22,4270.5685613155365,18860.229614019394,10405.888408734081,329,1.1862690448098712,5.238952670560943,2.8905245579816894,0.04942787686707797,0.21828969460670594,0.12043852324923705
arouf@ec12,4307.096461772919,18827.801030874252,10117.73328186072,337,1.1964156838258106,5.229944730798404,2.810481467183533,0.04985065349274211,0.2179143637832668,0.11710339446598055
arouf@ec16,4263.037760257721,18686.381937503815,10334.279604683501,330,1.1841771556271448,5.190661649306615,2.870633223523195,0.0493407148177977,0.21627756872110895,0.11960971764679978
arouf@ec19,4282.509008169174,18579.813886642456,10257.716260441073,333,1.1895858356025484,5.161059412956238,2.849365627900298,0.04956607648343952,0.21504414220650991,0.11872356782917909
arouf@ec8,4218.905308961868,18539.823568105698,10289.565613407687,332,1.1719181413782966,5.1499509911404715,2.858212670391024,0.04882992255742903,0.21458129129751966,0.11909219459962601
